,Date,Correlation
29,2023-10-20,0.9003239689788791
30,2023-10-23,0.8864995407209555
31,2023-10-24,0.8773127076517862
32,2023-10-25,0.8631223935770148
33,2023-10-26,0.8451354978343207
34,2023-10-27,0.8368970981843973
35,2023-10-30,0.8432907588375198
36,2023-10-31,0.8394132230109546
37,2023-11-01,0.844493951414045
38,2023-11-02,0.8546419093879196
39,2023-11-03,0.8854488278377758
40,2023-11-06,0.9024417192352882
41,2023-11-07,0.911385384511317
42,2023-11-08,0.9226149676637257
43,2023-11-09,0.944926538239787
44,2023-11-10,0.953839143815179
45,2023-11-13,0.9463737644146323
46,2023-11-14,0.9364655089754917
47,2023-11-15,0.9065268350660822
48,2023-11-16,0.8622235296542512
49,2023-11-17,0.8123752847370527
50,2023-11-20,0.782560640574928
51,2023-11-21,0.746922880627831
52,2023-11-22,0.7118403118072834
53,2023-11-23,0.6230264708016624
54,2023-11-24,0.6432420623804146
55,2023-11-27,0.689970759748261
56,2023-11-28,0.801452935540646
57,2023-11-29,0.8488163996295948
58,2023-11-30,0.8710384547666133
59,2023-12-01,0.8954062750318995
60,2023-12-04,0.8992349743075169
61,2023-12-05,0.8992867787649516
62,2023-12-06,0.8945685917253686
63,2023-12-07,0.8890544850200695
64,2023-12-08,0.8908393444899396
65,2023-12-11,0.8905731744985198
66,2023-12-12,0.8923630787524088
67,2023-12-13,0.8847919754873337
68,2023-12-14,0.8880215558928366
69,2023-12-15,0.8873356257659666
70,2023-12-18,0.8782327297811565
71,2023-12-19,0.8672839002235018
72,2023-12-20,0.8556276411023617
73,2023-12-21,0.844868373131554
74,2023-12-22,0.800822686662189
75,2023-12-26,0.7378297889643399
76,2023-12-27,0.689524097343825
77,2023-12-28,0.6501283174218391
78,2023-12-29,0.6107846853707075
79,2024-01-02,0.5704219079453651
80,2024-01-03,0.49743545792321325
81,2024-01-04,0.44749274660358157
82,2024-01-05,0.4089903287717384
83,2024-01-08,0.4159209314778397
84,2024-01-09,0.4537921225853273
85,2024-01-10,0.5092234085001905
86,2024-01-11,0.5159842719492334
87,2024-01-12,0.49807643295928117
88,2024-01-15,0.5149615553562139
89,2024-01-16,0.45109587313783206
90,2024-01-17,0.52511462878041
91,2024-01-18,0.5717810157756056
92,2024-01-19,0.580640308780949
93,2024-01-22,0.5838266819789124
94,2024-01-23,0.5723142805137789
95,2024-01-24,0.5885142420358728
96,2024-01-25,0.6076777728524119
97,2024-01-26,0.6412047195969733
98,2024-01-29,0.6646628809427911
99,2024-01-30,0.7220682280821621
100,2024-01-31,0.7515341090072425
101,2024-02-01,0.7567684050632315
102,2024-02-02,0.8140671910482492
103,2024-02-05,0.8584741742305779
104,2024-02-06,0.8530591650129298
105,2024-02-07,0.803900741183498
106,2024-02-08,0.7366015119499446
107,2024-02-09,0.6831058303941646
108,2024-02-12,0.6090343941946972
109,2024-02-13,0.6062105365622362
110,2024-02-14,0.6179109411562665
111,2024-02-15,0.5502408667160847
112,2024-02-16,0.42304395032590647
113,2024-02-19,0.4078737333362869
