DATE,Close
2006-01-01,9.84
2006-02-01,9.73
2006-03-01,11.45
2006-04-01,13.56
2006-05-01,12.5
2006-06-01,11.0
2006-07-01,11.32
2006-08-01,12.82
2006-09-01,11.42
2006-10-01,12.22
2006-11-01,13.89
2006-12-01,12.87
2007-01-01,13.47
2007-02-01,14.08
2007-03-01,13.36
2007-04-01,13.45
2007-05-01,13.4
2007-06-01,12.39
2007-07-01,12.92
2007-08-01,12.04
2007-09-01,13.81
2007-10-01,14.5
2007-11-01,13.98
2007-12-01,14.78
2008-01-01,16.89
2008-02-01,19.69
2008-03-01,17.19
2008-04-01,16.57
2008-05-01,16.85
2008-06-01,17.42
2008-07-01,17.73
2008-08-01,13.57
2008-09-01,12.03
2008-10-01,9.83
2008-11-01,10.32
2008-12-01,11.28
2009-01-01,12.6
2009-02-01,13.04
2009-03-01,13.01
2009-04-01,12.41
2009-05-01,15.59
2009-06-01,13.57
2009-07-01,13.92
2009-08-01,14.9
2009-09-01,16.62
2009-10-01,16.27
2009-11-01,18.44
2009-12-01,16.84
2010-01-01,16.2
2010-02-01,16.46
2010-03-01,17.5
2010-04-01,18.65
2010-05-01,18.57
2010-06-01,18.61
2010-07-01,17.98
2010-08-01,19.36
2010-09-01,21.73
2010-10-01,24.73
2010-11-01,28.07
2010-12-01,30.86
2011-01-01,28.05
2011-02-01,33.95
2011-03-01,37.66
2011-04-01,47.91
2011-05-01,38.49
2011-06-01,34.71
2011-07-01,39.89
2011-08-01,41.52
2011-09-01,29.93
2011-10-01,34.14
2011-11-01,32.825
2011-12-01,27.835
2012-01-01,33.145
2012-02-01,34.63
2012-03-01,32.255
2012-04-01,30.95
2012-05-01,27.65
2012-06-01,27.47
2012-07-01,27.97
2012-08-01,31.71
2012-09-01,34.46
2012-10-01,32.227
2012-11-01,33.39
2012-12-01,30.27
2013-01-01,31.43
2013-02-01,28.505
2013-03-01,28.314
2013-04-01,24.325
2013-05-01,22.193
2013-06-01,19.628
2013-07-01,19.835
2013-08-01,23.442
2013-09-01,21.69
2013-10-01,21.909
2013-11-01,19.97
2013-12-01,19.437
2014-01-01,19.167
2014-02-01,21.137
2014-03-01,19.761
2014-04-01,19.188
2014-05-01,18.801
2014-06-01,21.017
2014-07-01,20.381
2014-08-01,19.47
2014-09-01,16.962
2014-10-01,16.154
2014-11-01,15.53
2014-12-01,15.67
2015-01-01,17.23
2015-02-01,16.55
2015-03-01,16.655
2015-04-01,16.15
2015-05-01,16.73
2015-06-01,15.7295
2015-07-01,14.74
2015-08-01,14.63
2015-09-01,14.54
2015-10-01,15.56
2015-11-01,14.0815
2015-12-01,13.8425
2016-01-01,14.27
2016-02-01,14.9
2016-03-01,15.44
2016-04-01,17.82
2016-05-01,16.0
2016-06-01,18.71
2016-07-01,20.37
2016-08-01,18.65
2016-09-01,19.1805
2016-10-01,17.89
2016-11-01,16.51
2016-12-01,15.95
2017-01-01,17.56
2017-02-01,18.31
2017-03-01,18.21
2017-04-01,17.23
2017-05-01,17.34
2017-06-01,16.62
2017-07-01,16.8305
2017-08-01,17.58
2017-09-01,16.66
2017-10-01,16.71
2017-11-01,16.4375
2017-12-01,16.9545
2018-01-01,17.3425
2018-02-01,16.414
2018-03-01,16.36
2018-04-01,16.33
2018-05-01,16.4225
2018-06-01,16.0925
2018-07-01,15.51
2018-08-01,14.51
2018-09-01,14.63
2018-10-01,14.2655
2018-11-01,14.18
2018-12-01,15.4935
2019-01-01,16.0685
2019-02-01,15.63
2019-03-01,15.1395
2019-04-01,14.94
2019-05-01,14.58
2019-06-01,15.31
2019-07-01,16.27
2019-08-01,18.34
2019-09-01,16.99
2019-10-01,18.12
2019-11-01,17.019
2019-12-01,17.853
2020-01-01,18.0315
2020-02-01,16.62
2020-03-01,13.978
2020-04-01,14.961
2020-05-01,17.86
2020-06-01,18.2
2020-07-01,24.32
2020-08-01,28.14
2020-09-01,23.23
2020-10-01,23.65
2020-11-01,22.63
2020-12-01,26.389
2021-01-01,26.91
2021-02-01,26.55
2021-03-01,24.416
2021-04-01,25.87
2021-05-01,28.0395
2021-06-01,26.138
2021-07-01,25.48
2021-08-01,23.8915
2021-09-01,22.1755
2021-10-01,23.8785
2021-11-01,22.8385
2021-12-01,23.2665
2022-01-01,22.4685
2022-02-01,24.4525
2022-03-01,24.7925
2022-04-01,22.7695
2022-05-01,21.5595
2022-06-01,20.2755
2022-07-01,20.2695
2022-08-01,17.9945
2022-09-01,19.0195
2022-10-01,19.1505
2022-11-01,22.1925
2022-12-01,23.935
2023-01-01,23.733
