DATE,Close
2006-01-01,570.1
2006-02-01,561.3
2006-03-01,580.9
2006-04-01,649.95
2006-05-01,644.0
2006-06-01,614.1
2006-07-01,634.4
2006-08-01,625.1
2006-09-01,598.6
2006-10-01,605.4
2006-11-01,646.25
2006-12-01,635.7
2007-01-01,652.1
2007-02-01,669.3
2007-03-01,663.4
2007-04-01,680.6
2007-05-01,660.5
2007-06-01,649.7
2007-07-01,665.95
2007-08-01,672.5
2007-09-01,744.8
2007-10-01,795.3
2007-11-01,784.46
2007-12-01,833.15
2008-01-01,925.7
2008-02-01,970.4
2008-03-01,913.2
2008-04-01,866.18
2008-05-01,886.96
2008-06-01,927.4
2008-07-01,913.2
2008-08-01,830.25
2008-09-01,872.02
2008-10-01,724.93
2008-11-01,817.9
2008-12-01,879.05
2009-01-01,928.08
2009-02-01,938.96
2009-03-01,922.58
2009-04-01,890.85
2009-05-01,975.92
2009-06-01,926.68
2009-07-01,953.9
2009-08-01,951.92
2009-09-01,1007.9
2009-10-01,1041.0
2009-11-01,1178.5
2009-12-01,1096.6
2010-01-01,1080.05
2010-02-01,1116.85
2010-03-01,1112.68
2010-04-01,1178.05
2010-05-01,1216.4
2010-06-01,1241.15
2010-07-01,1180.3
2010-08-01,1246.7
2010-09-01,1308.45
2010-10-01,1359.05
2010-11-01,1386.8
2010-12-01,1420.55
2011-01-01,1333.0
2011-02-01,1410.93
2011-03-01,1432.0
2011-04-01,1563.45
2011-05-01,1535.57
2011-06-01,1500.6
2011-07-01,1624.85
2011-08-01,1825.34
2011-09-01,1623.83
2011-10-01,1709.82
2011-11-01,1749.34
2011-12-01,1564.81
2012-01-01,1737.23
2012-02-01,1695.47
2012-03-01,1668.28
2012-04-01,1663.7
2012-05-01,1558.7
2012-06-01,1596.95
2012-07-01,1614.08
2012-08-01,1691.61
2012-09-01,1771.25
2012-10-01,1719.71
2012-11-01,1714.4
2012-12-01,1676.4
2013-01-01,1663.38
2013-02-01,1579.16
2013-03-01,1596.65
2013-04-01,1476.23
2013-05-01,1385.08
2013-06-01,1232.63
2013-07-01,1324.83
2013-08-01,1393.98
2013-09-01,1328.82
2013-10-01,1323.25
2013-11-01,1253.78
2013-12-01,1204.12
2014-01-01,1244.75
2014-02-01,1323.58
2014-03-01,1283.9
2014-04-01,1291.26
2014-05-01,1250.55
2014-06-01,1327.06
2014-07-01,1282.59
2014-08-01,1287.12
2014-09-01,1208.09
2014-10-01,1171.85
2014-11-01,1168.85
2014-12-01,1183.0
2015-01-01,1283.8
2015-02-01,1211.57
2015-03-01,1183.38
2015-04-01,1184.5
2015-05-01,1190.22
2015-06-01,1172.36
2015-07-01,1095.23
2015-08-01,1134.6
2015-09-01,1115.34
2015-10-01,1142.22
2015-11-01,1064.66
2015-12-01,1061.46
2016-01-01,1117.69
2016-02-01,1238.86
2016-03-01,1232.95
2016-04-01,1293.03
2016-05-01,1215.74
2016-06-01,1321.94
2016-07-01,1352.15
2016-08-01,1308.88
2016-09-01,1317.57
2016-10-01,1276.66
2016-11-01,1173.32
2016-12-01,1150.91
2017-01-01,1210.61
2017-02-01,1248.89
2017-03-01,1247.31
2017-04-01,1268.16
2017-05-01,1268.58
2017-06-01,1241.38
2017-07-01,1269.4
2017-08-01,1320.64
2017-09-01,1280.59
2017-10-01,1271.31
2017-11-01,1274.87
2017-12-01,1303.33
2018-01-01,1345.13
2018-02-01,1318.23
2018-03-01,1325.43
2018-04-01,1315.93
2018-05-01,1298.46
2018-06-01,1252.55
2018-07-01,1222.92
2018-08-01,1199.52
2018-09-01,1191.96
2018-10-01,1215.37
2018-11-01,1222.13
2018-12-01,1282.56
2019-01-01,1321.37
2019-02-01,1312.45
2019-03-01,1292.3
2019-04-01,1283.48
2019-05-01,1305.87
2019-06-01,1411.07
2019-07-01,1413.73
2019-08-01,1523.72
2019-09-01,1472.72
2019-10-01,1513.17
2019-11-01,1464.02
2019-12-01,1517.305
2020-01-01,1586.88
2020-02-01,1577.4
2020-03-01,1575.15
2020-04-01,1686.855
2020-05-01,1731.5
2020-06-01,1780.96
2020-07-01,1974.2
2020-08-01,1967.82
2020-09-01,1885.8
2020-10-01,1878.38
2020-11-01,1776.77
2020-12-01,1898.705
2021-01-01,1842.81
2021-02-01,1727.48
2021-03-01,1707.65
2021-04-01,1767.94
2021-05-01,1906.75
2021-06-01,1770.21
2021-07-01,1813.91
2021-08-01,1813.47
2021-09-01,1756.895
2021-10-01,1782.82
2021-11-01,1774.96
2021-12-01,1829.5
2022-01-01,1797.35
2022-02-01,1908.82
2022-03-01,1937.27
2022-04-01,1896.395
2022-05-01,1837.635
2022-06-01,1807.215
2022-07-01,1761.035
2022-08-01,1711.145
2022-09-01,1661.815
2022-10-01,1632.755
2022-11-01,1768.615
2022-12-01,1823.48
2023-01-01,1928.28
