Date,Correlation
2023-10-20,0.9003239689788789
2023-10-23,0.8864995407209555
2023-10-24,0.8773127076517862
2023-10-25,0.8631223935770147
2023-10-26,0.8451354978343205
2023-10-27,0.8368970981843972
2023-10-30,0.8432907588375196
2023-10-31,0.8394132230109544
2023-11-01,0.8444939514140448
2023-11-02,0.8546419093879195
2023-11-03,0.8854488278377755
2023-11-06,0.9024417192352879
2023-11-07,0.9113853845113167
2023-11-08,0.9226149676637256
2023-11-09,0.9449265382397869
2023-11-10,0.9538391438151786
2023-11-13,0.9463737644146321
2023-11-14,0.9364655089754916
2023-11-15,0.906526835066082
2023-11-16,0.8622235296542509
2023-11-17,0.8123752847370523
2023-11-20,0.7825606405749276
2023-11-21,0.7469228806278306
2023-11-22,0.7118403118072829
2023-11-23,0.6230264708016617
2023-11-24,0.643242062380414
2023-11-27,0.6899707597482606
2023-11-28,0.8014529355406457
2023-11-29,0.8488163996295945
2023-11-30,0.8710384547666132
2023-12-01,0.8954062750318995
2023-12-04,0.8992349743075168
2023-12-05,0.8992867787649514
2023-12-06,0.8945685917253685
2023-12-07,0.8890544850200693
2023-12-08,0.8908393444899395
2023-12-11,0.8905731744985197
2023-12-12,0.8923630787524088
2023-12-13,0.8847919754873337
2023-12-14,0.8880215558928365
2023-12-15,0.8873356257659665
2023-12-18,0.8782327297811564
2023-12-19,0.8672839002235017
2023-12-20,0.8556276411023616
2023-12-21,0.8448683731315539
2023-12-22,0.8008226866621889
2023-12-26,0.7378297889643398
2023-12-27,0.689524097343825
2023-12-28,0.6501283174218391
2023-12-29,0.6107846853707075
2024-01-02,0.5704219079453651
2024-01-03,0.49743545792321314
2024-01-04,0.44749274660358146
2024-01-05,0.4089903287717383
2024-01-08,0.4159209314778397
2024-01-09,0.4537921225853273
2024-01-10,0.5092234085001905
2024-01-11,0.5159842719492334
2024-01-12,0.49807643295928106
2024-01-15,0.5149615553562139
2024-01-16,0.451095873137832
2024-01-17,0.5251146287804099
2024-01-18,0.5717810157756055
2024-01-19,0.580640308780949
2024-01-22,0.5838266819789123
2024-01-23,0.5723142805137788
2024-01-24,0.5885142420358728
2024-01-25,0.6076777728524118
2024-01-26,0.6412047195969732
2024-01-29,0.6646628809427911
2024-01-30,0.7220682280821619
2024-01-31,0.7515341090072423
2024-02-01,0.7567684050632312
2024-02-02,0.814067191048249
2024-02-05,0.8584741742305778
2024-02-06,0.8530591650129297
2024-02-07,0.8039007411834979
2024-02-08,0.7366015119499444
2024-02-09,0.6831058303941643
2024-02-12,0.6090343941946968
2024-02-13,0.606210536562236
2024-02-14,0.6179109411562663
2024-02-15,0.5502408667160845
2024-02-16,0.42304395032590636
2024-02-19,0.4078737333362867
2024-02-20,0.39832319357211754
2024-02-21,0.40020371620753903
2024-02-22,0.4006241481303406
2024-02-23,0.3724031684417786
2024-02-26,0.28676974415503237
2024-02-27,0.26656321708242026
2024-02-28,0.23041174478515572
2024-02-29,0.21929696719981454
2024-03-01,0.3212565939827539
2024-03-04,0.5700815061602587
2024-03-05,0.6605631723361023
2024-03-06,0.7596347914748263
2024-03-07,0.8233646216631658
2024-03-08,0.8583109382425237
2024-03-11,0.8921279583763861
2024-03-12,0.9068915655942127
2024-03-13,0.9149627197976863
2024-03-14,0.9208626522206753
2024-03-15,0.9166252477201565
2024-03-18,0.9190358261923002
2024-03-19,0.9230535665152533
2024-03-20,0.9329706899630574
2024-03-21,0.9352030340326418
2024-03-22,0.9355757460881343
2024-03-25,0.9352342770008883
2024-03-26,0.9281036558127543
2024-03-27,0.9208559690303478
2024-03-28,0.9200253034490181
2024-04-01,0.9295244591507573
2024-04-02,0.9390924730131275
2024-04-03,0.9448766911977272
2024-04-04,0.9491360371826115
2024-04-05,0.9543487655300482
2024-04-08,0.9599187648006337
2024-04-09,0.9621909341675874
2024-04-10,0.961947895060434
